Restaurant: 5th Street Bar & Cafe, address: Viides linja 7, HELSINKI
Restaurant: Ravintola Nuevo, address: Sofiankatu 4, HELSINKI
Restaurant: Ravintola Nuori Messipoika, address: Maatullinaukio 10, HELSINKI
Restaurant: Ravintola Nyyrikin Iltatähti, address: Pohjolankatu 2, HELSINKI
Restaurant: Ravintola O'Malley's, address: Yrjönkatu 26, HELSINKI
Restaurant: Ravintola Old Sophie, address: Koskelantie 9, HELSINKI
Restaurant: Ravintola Olipa Kerran..., address: Albertinkatu 34, HELSINKI
Restaurant: Ravintola Olo, address: Pohjoisesplanadi 5, HELSINKI
Restaurant: Ravintola Olotila, address: Gunnel Nymanin katu 5, HELSINKI
Restaurant: Ravintola Om'Pu, address: Siltasaarenkatu 15, HELSINKI
Restaurant: Ravintola Painobaari, address: Sanomatalo Postikuja 2, HELSINKI
Restaurant: Ravintola Palace, address: Eteläranta 10, HELSINKI
Restaurant: Ravintola Park Pub, address: Puistolantori 1, HELSINKI
Restaurant: Ravintola Parrilla Española, address: Eerikinkatu 4, HELSINKI
Restaurant: Ravintola Paussi, address: Viipurinkatu 14, HELSINKI
Restaurant: Ravintola Pelimanni, address: Puistolantori 4, HELSINKI
Restaurant: Ravintola Piano 1, address: Karhusuontie 75, HELSINKI
Restaurant: Ravintola Piccolo Marinero, address: Kalkkihiekantie 2, HELSINKI
Restaurant: Ravintola Pikku-Pelikaani, address: Meri-Rastilan kuja 2, HELSINKI
Restaurant: Ravintola Pikku-Vallila, address: Vallilantie 19, HELSINKI
Restaurant: Ravintola Pinetto, address: Kirkonkyläntie 47, HELSINKI
Restaurant: Ravintola Pohjanpoika, address: Jakomäenkuja 4, HELSINKI
Restaurant: Ravintola Populus, address: Aleksis Kiven katu 22, HELSINKI
Restaurant: Ravintola Power Play Hartwall Areena, address: Areenankuja 1, HELSINKI
Restaurant: Ravintola Prankkari, address: Kaarlenkatu 1, HELSINKI
Restaurant: Ravintola Provinssi, address: Korvatunturintie 2, HELSINKI
Restaurant: Ravintola Pyysaari, address: Henrik Borgströmin puisto, HELSINKI
Restaurant: Ravintola Rafla, address: Uudenmaankatu 9, HELSINKI
Restaurant: Ravintola Rainbow, address: Ratavartijankatu 3, HELSINKI
Restaurant: Ravintola Revontuli, address: Kajaaninlinnantie 4, HELSINKI
Restaurant: Ravintola Ristorante daVinci, address: Mannerheimintie 22-24, HELSINKI
Restaurant: Ravintola Royal Club Helsingin Jäähalli, address: Nordenskiöldinkatu 11-13, HELSINKI
Restaurant: Ravintola Rubiini, address: Jousimiehentie 3, HELSINKI
Restaurant: Ravintola Ruiskumestari, address: Roihuvuorentie 10, HELSINKI
Restaurant: Ravintola Rytmi, address: Toinen linja 2, HELSINKI
Restaurant: Ravintola Saari, address: Sirpalesaari, HELSINKI
Restaurant: Ravintola Saaristo, address: Klippan Luoto, HELSINKI
Restaurant: Ravintola Sankari, address: Liiketie 4, HELSINKI
Restaurant: Ravintola Santa Fé, address: Aleksanterinkatu 15, HELSINKI
Restaurant: Ravintola Savoy, address: Eteläesplanadi 14, HELSINKI
Restaurant: Ravintola Savu, address: Tervasaarenkannas 3, HELSINKI
Restaurant: Ravintola Sea Horse, address: Kapteeninkatu 11, HELSINKI
Restaurant: Ravintola Seitsemän Veljestä, address: Aleksis Kiven Katu 80, HELSINKI
Restaurant: Ravintola Semifinal, address: Urho Kekkosen katu 6, HELSINKI
Restaurant: Ravintola Seurahuone Restaurang, address: Kaivokatu 12, HELSINKI
Restaurant: Ravintola Shaker, address: Fredrikinkatu 65, HELSINKI
Restaurant: Ravintola Shampers, address: Mannerheimintie 14 A, HELSINKI
Restaurant: Ravintola Siilinpesä, address: Siilitie 1, HELSINKI
Restaurant: Ravintola Silver Star Café Hartwall Areena, address: Areenankuja 1, HELSINKI
Restaurant: Ravintola Sipuli, address: Kanavaranta 7, HELSINKI
Restaurant: Ravintola Sir Olavi, address: Korppaanmäentie 11 A, HELSINKI
Restaurant: Ravintola Sir Oliver, address: Haapaniemenkatu 14, HELSINKI
Restaurant: Ravintola Sivuraide, address: Hämeentie 54, HELSINKI
Restaurant: Ravintola Sling In Bar, address: Mikonkatu 8 2. krs, HELSINKI
Restaurant: Ravintola Sorbet, address: Sitratie 7, HELSINKI
Restaurant: Ravintola St. Urho's Pub, address: Museokatu 10, HELSINKI
Restaurant: Ravintola Stadin Tähti, address: Mäkelänkatu 2, HELSINKI
Restaurant: Ravintola Sunside, address: Sahaajankatu 26, HELSINKI
Restaurant: Ravintola Teatteri, address: Pohjoisesplanadi 2, HELSINKI
Restaurant: Ravintola Tenkka, address: Helsinginkatu 15, HELSINKI
Restaurant: Ravintola Tiilenpää, address: Aurinkotuulenkatu 10 A 24, HELSINKI
Restaurant: Ravintola Torni, address: Kalevankatu 5, HELSINKI
Restaurant: Ravintola Toveri, address: Castréninkatu 3, HELSINKI
Restaurant: Ravintola Täysikuu, address: Huovitie 3, HELSINKI
Restaurant: Ravintola Töölönranta, address: Helsinginkatu 56, HELSINKI
Restaurant: Ravintola U Kaleva, address: Kalevankatu 3, HELSINKI
Restaurant: Ravintola Ugly Duckling, address: Tulisuontie 1, HELSINKI
Restaurant: Ravintola Ukko-Munkki, address: Laajalahdentie 19 , Munkkiniemi, HELSINKI
Restaurant: Ravintola Unelma, address: Vanhaistentie 3, HELSINKI
Restaurant: Ravintola Vaahtera, address: Kyttäläntie 3, HELSINKI
Restaurant: Ravintola Vega, address: Kylänvanhimmantie 29, HELSINKI
Restaurant: Ravintola Vesala, address: Rekipellontie 11, HELSINKI
Restaurant: Ravintola Viisi Penniä, address: Mannerheimintie 55, HELSINKI
Restaurant: Ravintola Villi Wäinö, address: Kalevankatu 4, HELSINKI
Restaurant: Ravintola Viola, address: Ruoholahdenranta 3, HELSINKI
Restaurant: Ravintola VPK, address: Albertinkatu 29, HELSINKI
Restaurant: Ravintola Väentupa, address: Olavinkatu 1, HELSINKI
Restaurant: Ravintola Walhalla, address: Suomenlinna A 10, HELSINKI
Restaurant: Ravintola Wanha Herra, address: Itälahdenkatu 7, HELSINKI
Restaurant: Ravintola Wanha Mylly, address: Linnanrakentajantie 12, HELSINKI
Restaurant: Ravintola Wanha Rouva, address: Ostostie 4, HELSINKI
Restaurant: Ravintola Weeruska, address: Porvoonkatu 19, HELSINKI
Restaurant: Ravintola Wellamo, address: Laivastokatu 18, HELSINKI
Restaurant: Ravintola Wenla, address: Keinulaudankuja 4, HELSINKI
Restaurant: Ravintola White Lady, address: Mannerheimintie 93, HELSINKI
Restaurant: Ravintola Willihanhi, address: Puustellinpolku 8, HELSINKI
Restaurant: Ravintola Windsor, address: Maistraatinportti 4, HELSINKI
Restaurant: Ravintola Wossikka, address: Sulkapolku 3, HELSINKI
Restaurant: Ravintola Zorbas, address: Läntinen Brahenkatu 4 A, HELSINKI
Restaurant: Ravintola-Pizzeria Pompei, address: Snellmaninkatu 16, HELSINKI
Restaurant: Ravintolalaiva Flying Dutch, address: Siltasaarenkatu 2, HELSINKI
Restaurant: Ravintolalaiva Maria, address: Hakaniemenranta, HELSINKI
Restaurant: Ravintolalaiva Wäiski, address: Hakaniemenranta 11, HELSINKI
Restaurant: Reissumies Pub, address: Koulutanhua 6, HELSINKI
Restaurant: Relaxin Bar & Cafe, address: Helsinginkatu 13, HELSINKI
Restaurant: Restaurant & Cafe Simonkatu, address: Simonkatu 9, HELSINKI
Restaurant: Restel Ravintolat Oy / Helsingin Jäähalli, address: Nordenskiöldinkatu 11-13, HELSINKI
Restaurant: Ristorante Supremo, address: Mannerheimintie 63, HELSINKI
Restaurant: Robert's Coffee Arabia, address: Hämeentie 109-111, HELSINKI
Restaurant: Robert's Coffee Citykäytävä, address: Aleksanterinkatu 21, HELSINKI
Restaurant: Robert's Coffee Itis Bulevardi, address: Itäkatu 1, HELSINKI
Restaurant: Robert's Coffee Itis Pasaasi, address: Itäkatu 7, HELSINKI
Restaurant: Robert's Coffee Kaisaniemi, address: Kaisaniemenkatu 3, HELSINKI
Restaurant: Robert's Coffee Kamppi, address: Kampinkuja 2 (sähkötalo), HELSINKI
Restaurant: Robert's Coffee Katajannokka, address: Kanavaranta 4, HELSINKI
Restaurant: Robert's Coffee Kluuvi, address: Kluuvikatu 7, HELSINKI
Restaurant: Robert's Coffee Makasiiniterminaali, address: Makasiiniterminaali Eteläsatama, HELSINKI
Restaurant: Robert's Coffee Olympiaterminaali, address: Olympiaranta 1, HELSINKI
Restaurant: Robert's Coffee Pasila, address: Ratapihantie 6, HELSINKI
Restaurant: Robert's Coffee Rautatieasema, address: Kaivokatu 1 Helsingin rautatieasema, HELSINKI
Restaurant: Robert's Coffee Töölöntori, address: Töölöntori, HELSINKI
Restaurant: Robert's Coffee, Espressobar Stockmann, address: Aleksanterinkatu 52, HELSINKI
Restaurant: Rock Bar The Stage Helsinki, address: Iso Roobertinkatu 13, HELSINKI
Restaurant: Sailor's, address: Laivalahdenkaari 29, HELSINKI
Restaurant: Salud Bar, address: Konalantie 2, HELSINKI
Restaurant: Salve, address: Hietalahdenranta 11, HELSINKI
Restaurant: Sauna Vogue, address: Sturenkatu 27 A 5.krs, HELSINKI
Restaurant: Scanburger, address: Urho Kekkosen katu 1, HELSINKI
Restaurant: Scandic Grand Marina, address: Katajanokanlaituri 7, HELSINKI
Restaurant: Scandic Simonkenttä, address: Simonkatu 9, HELSINKI
Restaurant: Shot Bar, address: Yliopistonkatu 8, HELSINKI
Restaurant: Siima Baari, address: Vaasankatu 25 A, HELSINKI
Restaurant: Sikarihuone, address: Lönnrotinkatu 19 A, HELSINKI
Restaurant: SilverDollar Oy, address: Hämeentie 23, HELSINKI
Restaurant: Sininen Baari, address: Arkadiankatu 21, HELSINKI
Restaurant: Sir Eino Olutravintola, address: Eteläesplanadi 18, HELSINKI
Restaurant: Sivukirjasto, address: Fleminginkatu 5, HELSINKI
Restaurant: Soittoruokala Roskapankki, address: Helsinginkatu 20, HELSINKI
Restaurant: Sokos Café, address: Mannerheimintie 9, HELSINKI
Restaurant: Sportpub Chelsea, address: Töölönlahdenkatu 1, HELSINKI
Restaurant: Sports Academy, address: Kaivokatu 8, HELSINKI
Restaurant: Sporttibaari Mode, address: Viipurinkatu 18, HELSINKI
Restaurant: Spårakoff, address: Hietaniemenkatu 14, HELSINKI
Restaurant: Star Cafe, address: Liisankatu 14, HELSINKI
Restaurant: Starbucks, address: Helsinki-Vantaan Lentoasema Saapuvien aula 2B, VANTAA
Restaurant: Storyville Jazz Club, address: Museokatu 8, HELSINKI
Restaurant: Strindberg, address: Pohjoisesplanadi 33, HELSINKI
Restaurant: Sture Jazz Bar, address: Sturenkatu 29, HELSINKI
Restaurant: Sump House, address: Kivikonkaari 12, HELSINKI
Restaurant: Suomenlinnan Panimo, address: Suomenlinna C, HELSINKI
Restaurant: Tablo Ateneum, address: Kaivokatu 2-4, HELSINKI
Restaurant: Tartan, address: Vanhaistentie 1, HELSINKI
Restaurant: Tavastia Klubi, address: Urho Kekkosen katu 4-6, HELSINKI
Restaurant: Teerenpeli Helsinki, address: Kamppi Olavinkatu 2, HELSINKI
Restaurant: Teeritupa, address: Pekanraitti 4, HELSINKI
Restaurant: Terassibar, address: Porthaninkatu 9, HELSINKI
Restaurant: The Circus, address: Salomonkatu 1-3, HELSINKI
Restaurant: The Pullman Bar, address: Helsingin Rautatieasema, HELSINKI
Restaurant: The Tiger, address: Urho Kekkosen katu 1, HELSINKI
Restaurant: TPM-Yhtiöt Oy, address: Mariankatu 15 a A 21, HELSINKI
Restaurant: Treffipub, address: Hiihtomäentie 14, HELSINKI
Restaurant: Tsemppi-Kahvio, address: Kirstinkatu 13, HELSINKI
Restaurant: Uusipallo, address: Käenkuja 8 C 34 a c/o Tili-Beta Oy, HELSINKI
Restaurant: Viinibaari Latva, address: Korkeavuorenkatu 25, HELSINKI
Restaurant: Virgin Oil Co., address: Mannerheimintie 5, HELSINKI
Restaurant: Vltava, address: Elielinaukio 2, HELSINKI
Restaurant: Wall St. Bar, address: Ateneuminkuja 4, HELSINKI
Restaurant: Westminster, address: Hämeentie 94, HELSINKI
Restaurant: William K. Annankatu, address: Annankatu 3, HELSINKI
Restaurant: William K. Kurvi, address: Helsinginkatu 2, HELSINKI
Restaurant: William K. Mannerheimintie, address: Mannerheimintie 72, HELSINKI
Restaurant: William K. Tennispalatsi, address: Fredrikinkatu 65, HELSINKI
Restaurant: Willy'S Pub, address: Roihuvuorentie 28, HELSINKI
Restaurant: Winebar Vin-Vin, address: Kalevankatu 6, HELSINKI
Restaurant: Wineserver Tomi Naarvala, address: Maneesikatu 4a A 21 c/o Tomi Naarvala, HELSINKI
Restaurant: Zetor, address: Mannerheimintie 3-5, HELSINKI
