Restaurant: 1-Jaskan Grilli, address: Dagmarinkatu -, 00100 Helsinki
Restaurant: Gate1, address: Helsinki-Malmin Lentoasema, 00700 Helsinki
Restaurant: Giselle Tea & Café, address: Aleksanterinkatu 28, 00180 Helsinki
Restaurant: GLO Art Kitchen, address: Lönnrotinkatu 29, 00180 Helsinki
Restaurant: Globe, address: Kluuvikatu 4, 00100 Helsinki
Restaurant: Goce Bar & Kitchen, address: Yrjönkatu 18, 00120 Helsinki
Restaurant: Gold Lion, address: Runeberginkatu 8, 00100 Helsinki
Restaurant: Golden Pizza Kebab, address: Vanhaistentie 3, 00420 Helsinki
Restaurant: Golden Rax Pizzabuffet, address: Mikonkatu 8, 00100 Helsinki
Restaurant: Good Life Coffee, address: Vilhonvuorenkatu 7-9, 00500 Helsinki
Restaurant: Goodwin the Steak House, address: Eteläranta 14, 00130 Helsinki
Restaurant: Gottland Deli & Cafe, address: Pihlajatie 8, 00270 Helsinki
Restaurant: Gran Delicato Galleria Esplanad, address: Pohjoisesplanadi 29, 00100 Helsinki
Restaurant: Gran Delicato Kalevankatu, address: Kalevankatu 34, 00180 Helsinki
Restaurant: Gran Delicato Take Away Fredrikinkatu, address: Fredrikinkatu 27, 00120 Helsinki
Restaurant: Grand Shanghai, address: Ateneuminkuja 2, 00100 Helsinki
Restaurant: Grande Grill, address: Aleksanterinkatu 15, 00100 Helsinki
Restaurant: Graniittilinna, address: Säästöpankinranta 6, 00530 Helsinki
Restaurant: Grill It!, address: Runeberginkatu 2, 00100 Helsinki
Restaurant: Grillsson, address: Hämeentie 19, 00500 Helsinki
Restaurant: Gringos Locos Helsinki, address: Mannerheimintie 17, 00250 Helsinki
Restaurant: Grotesk, address: Ludviginkatu 8-10, 00130 Helsinki
Restaurant: Grotesk Wine Bar, address: Erottajankatu 13, 00130 Helsinki
Restaurant: Guangzhou Yuan, address: Lastenkodinkuja 1, 00180 Helsinki
Restaurant: Gyosai-Sushi, address: Runeberginkatu 40, 00260 Helsinki
Restaurant: Haagan Pizza-Kebab, address: Huovitie 6, 00400 Helsinki
Restaurant: Haagan Pizzapalvelu, address: Laajasuontie 8, 00320 Helsinki
Restaurant: Habanero, address: Itämerenkatu 21, 00180 Helsinki
Restaurant: Habibi (Forum), address: Mannerheimintie 20, 00100 Helsinki
Restaurant: Habibi Deli, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: Habibi Kamppi, address: Malminrinne 6, 00100 Helsinki
Restaurant: Hakaniemen Hallikahvila, 2. krs, address: Hakaniemen kauppahalli, 00530 Helsinki
Restaurant: Hakaniemen Hallikahvilat ky, 1. krs, address: Hakaniemen kauppahalli 75, 00530 Helsinki
Restaurant: Hakaniemenrannan grilli, address: Mäkelänkatu, 00550 Helsinki
Restaurant: Halikarnas, address: Ruoholahdenkatu 18, 00180 Helsinki
Restaurant: Hampuris Herttoniemi, address: Laivalahdenkatu, 00880 Helsinki
Restaurant: Hampuris Kyläsaarenkatu, address: Kyläsaarenkatu 9, 00580 Helsinki
Restaurant: Hampuris Metsälä, address: Niittylänpolku, 00620 Helsinki
Restaurant: Hampuris Puotila, address: Puotilan venesatama, 00910 Helsinki
Restaurant: Hampuris Sörnäinen, address: Sörnäisten rantatie 17-18, 00530 Helsinki
Restaurant: Hanami, address: Kalevankatu 47, 00180 Helsinki
Restaurant: Hanko Sushi Forum, address: Kauppakeskus Forum, Mannerheimintie 14–20, 3. kerros, 00100 Helsinki
Restaurant: Hanko Sushi Herttoniemi, address: Hitsaajankatu 12, 00810 Helsinki
Restaurant: Hanko Sushi Kluuvi, address: Aleksanterinkatu 9, 3 krs., 00100 Helsinki
Restaurant: Hanko Sushi Ruoholahti, address: Itämerenkatu 12, 00180 Helsinki
Restaurant: Hansini, address: Aurinkotuulenkatu 14, 00990 Helsinki
Restaurant: Happiness, address: Vuorikatu 14 (Kaisaniemen metroasema), 00100 Helsinki
Restaurant: Happy Dragon, address: Helsinginkatu 11, 00500 Helsinki
Restaurant: Happy Food Garden, address: Kalevankatu 23, 00100 Helsinki
Restaurant: Happy Garden, address: Kinaporinkatu 2, 00500 Helsinki
Restaurant: Harbin, address: Tulppatie 18, 00880 Helsinki
Restaurant: Hard Rock Cafe, Helsinki, address: Aleksanterinkatu 21, 00100 Helsinki
Restaurant: Hard Rock House, address: Roihuvuorentie 1, 00820 Helsinki
Restaurant: Harry's, address: Kankiraudantie 2A, 00700 Helsinki
Restaurant: Harry's Cafe, address: Erätie 3, 00730 Helsinki
Restaurant: Havis, address: Eteläranta 16, 00130 Helsinki
Restaurant: Helkan Keittiö, address: Pohjoinen Rautatiekatu 23, 00100 Helsinki
Restaurant: Helmi, address: Eerikinkatu 14, 00100 Helsinki
Restaurant: HelmiSimpukka Ala-Tikkurila, address: Härkävaljakontie 30, 00750 Helsinki
Restaurant: HelmiSimpukka Konala, address: Ristipellontie 18, 00390 Helsinki
Restaurant: HelmiSimpukka Pukinmäki, address: Ratavallintie 1, 00720 Helsinki
Restaurant: Helsingin Diakonissalaitos / Alppica, address: Helsinginkatu 50, 00530 Helsinki
Restaurant: Helsingin leipä Oy, address: Hakaniemen metroasema, 00530 Helsinki
Restaurant: Henry's Pub, address: Simonkatu 3, 00100 Helsinki
Restaurant: Herkkuhaarukka, address: Hämeentie 150, 00560 Helsinki
Restaurant: Herkkulounas NT, address: Abraham wetterin tie 4, 00810 Helsinki
Restaurant: Hermannin Kukko, address: Hämeentie 81-83, 00550 Helsinki
Restaurant: Hermannin Pizza, address: Vellamonkatu 10, 00550 Helsinki
Restaurant: Hertsikan Helmi, address: Hitsaajankatu 14, 00810 Helsinki
Restaurant: Hertta 5, address: Laivalahdenportti 2, 00810 Helsinki
Restaurant: Hesarin Lippa, address: Helsinginkatu 19, 00500 Helsinki
Restaurant: Hesburger Hakaniemi, address: Hämeentie 2, 00530 Helsinki
Restaurant: Hesburger Hartwall Areena, address: Veturitie 13, 00240 Helsinki
Restaurant: Hesburger Kaisaniemi, address: Vuorikatu 14, 00100 Helsinki
Restaurant: Hesburger Kallio, address: Helsinginkatu 28, 00530 Helsinki
Restaurant: Hesburger Kasarmitori, address: Kasarmikatu 19, 00130 Helsinki
Restaurant: Hesburger Kaupintie, address: Kaupintie 19, 00440 Helsinki
Restaurant: Hesburger Käpylä, address: Vähänkyröntie 2, 00610 Helsinki
Restaurant: Hesburger Lanterna, address: Varikkotie 2, 00880 Helsinki
Restaurant: Hesburger Messukeskus, address: Messuaukio 1, 00520 Helsinki
Restaurant: Hesburger Munkkiniemi, address: Tietokuja 7, 00330 Helsinki
Restaurant: Hesburger Myllypuro, address: Kivensilmänkuja 1, 00920 Helsinki
Restaurant: Hesburger Pasila, address: Ratapihantie 6, 00520 Helsinki
Restaurant: Hesburger Rautientori, address: Rautatientorin metroasema / Kaivokatu, 00100 Helsinki
Restaurant: Hesburger Ristikko, address: Ajomiehentie 1, 00390 Helsinki
Restaurant: Hesburger Ruoholahti, address: Porkkalankatu 9-11, 00180 Helsinki
Restaurant: Hesburger Tennispalatsi, address: Fredrikinkatu 65, 00100 Helsinki
Restaurant: Hesburger Töölö, address: Mannerheimintie 19 A, 00250 Helsinki
Restaurant: Hietalahdenrannan lippakioski, address: Hietalahdenranta 11, 00180 Helsinki
Restaurant: Hietarannan kahvila, address: Hiekkarannantie, 00100 Helsinki
Restaurant: Hiisi, address: Fenniapasaasi Yöaikaan Kaisaniemenkatu 4, 00100 Helsinki
Restaurant: Hilpeä Hauki, address: Vaasankatu 7, 00500 Helsinki
Restaurant: Hima & Sali, address: Tallberginkatu 1 C, 00180 Helsinki
Restaurant: Himalaya, address: Ratakatu 1, 00120 Helsinki
Restaurant: Himshikhar, address: Siltasaarenkatu 3, 00530 Helsinki
Restaurant: Hippula Lasten Kirppis & Kaffela, address: Joukolantie 3, 00610 Helsinki
Restaurant: HK Makkarabaari, address: Kauppakeskus Kamppi, Urho Kekkosen katu 1, 00100 Helsinki
Restaurant: Hoku, address: Merimiehenkatu 18, 00100 Helsinki
Restaurant: Hong Fu, address: Vilhonvuorenkatu 7, 00500 Helsinki
Restaurant: Hong Ye, address: Linnankoskenkatu 11 B, 00250 Helsinki
Restaurant: Hoshito, address: Mäkelänkatu 22, 00510 Helsinki
Restaurant: Hou Wei Asian express, address: hietalahdenranta 6, 00120 Helsinki
Restaurant: Hua Fu Jiu Lou, address: Kirkonkyläntie 5 A, 00700 Helsinki
Restaurant: Hua Tian, address: Mekaanikonkatu 7, 00880 Helsinki
Restaurant: Huacheng, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: Humallahden Venekerho Hvk R.Y., address: Rajasaarenpenger 6, 00250 Helsinki
Restaurant: Huone, address: Länsisatamankatu 16, 00180 Helsinki
Restaurant: Huvilan kahvila, address: Mannerheimintie 13 b, 00100 Helsinki
Restaurant: I Love Food, address: Urhokekkosenkatu 1, alakerta, 00100 Helsinki
Restaurant: Ichiban Sushi Aikatalo, address: Mikonkatu 8, 00100 Helsinki
Restaurant: Ichiban Sushi Kamppi, address: Kampin kauppakeskus, Urho Kekkosen katu 1, 00100 Helsinki
Restaurant: Iguana Kaisaniemenkatu, address: Kaisaniemenkatu 3, 00100 Helsinki
Restaurant: Iguana Keskuskatu, address: Keskuskatu 4, 00100 Helsinki
Restaurant: Iguana Mannerheimintie, address: Mannerheimintie 12, 00100 Helsinki
Restaurant: IhanaKahvila, address: Sumparn KESÄ-ELOKUU, 00550 Helsinki
Restaurant: Il Bucatino, address: Tehtaankatu 36, 00150 Helsinki
Restaurant: Il Duetto, address: Malminrinne 6, 00100 Helsinki
Restaurant: Ilmatar, address: Bulevardi 2-4, 00120 Helsinki
Restaurant: Ilona, address: Tivolikuja 1, 00510 Helsinki
Restaurant: Iltatähti, address: Siilitie 9, 00800 Helsinki
Restaurant: India Tandoor, address: Salomonkatu 19, 00100 Helsinki
Restaurant: Inter Pizza Malminkartano, address: Luutnantinaukio 5, 00410 Helsinki
Restaurant: Interpizza Hämeentie, address: Hämeentie 81, 00550 Helsinki
Restaurant: Ismet Pro Kebab Kitchen, address: Itäkatu 1-5 C 152, 00930 Helsinki
Restaurant: ISS Menuel, address: Elimäenkatu 17 - 19, 00510 Helsinki
Restaurant: ISS Sundax henkilöstoravintola, address: Laippatie 4, 00880 Helsinki
Restaurant: It Is Deli Café, address: Tallinnanaukio, 1.krs, 00900 Helsinki
Restaurant: Itamae Sushi, address: Mikonkatu 5, 00100 Helsinki
Restaurant: Itamae Sushi Lasipalatsi, address: Mannerheimintie 22-24, 00100 Helsinki
Restaurant: Itis-Kebab Pizzeria, address: Turunlinnantie 12, 00900 Helsinki
Restaurant: Jaal, address: Veljestentie 21, 00730 Helsinki
Restaurant: Jailbird, address: Merikasarminkatu 1a, 00160 Helsinki
Restaurant: Jamaican Mamas, address: Hämeentie 16, 00500 Helsinki
Restaurant: Jamipaja, address: Hämeentie 135 A, 00560 Helsinki
Restaurant: Janoinen Lohi, address: Linnankoskenkatu 12, 00250 Helsinki
Restaurant: Janoinen Puhveli, address: Teuvo Pakkalantie 5, 00400 Helsinki
Restaurant: Jogo Frozen Yogurt Bar, address: Fredrikinkatu 65, 00100 Helsinki
Restaurant: Johan&Nyström, address: Kanavaranta 7 C, 00160 Helsinki
Restaurant: Johto Cafe, address: Urho Kekkosen katu 1 5.krs, 00100 Helsinki
Restaurant: Juhlakentän kioski, address: 
Restaurant: Jungle Juice Bar, address: Itäkeskus, Piazza. Itäkatu 1 B, 00930 Helsinki
Restaurant: Just Vege, address: Vaasankatu 15, 00500 Helsinki
Restaurant: Juttutupa, address: Säästöpankinranta 6, 00530 Helsinki
Restaurant: Juuri, address: Korkeavuorenkatu 27, 00130 Helsinki
Restaurant: Jäähallin Kahvio, address: Nordenskiöldinkatu 11-13, 00250 Helsinki
Restaurant: Jäähallin ravintola, address: Nordenskiöldinkatu 11-13, 00250 Helsinki
Restaurant: K*RVI, address: Hämeentie 35, 00500 Helsinki
Restaurant: K-Rauta Lanterna, address: Varikkotie 2, 00880 Helsinki
Restaurant: K-supermarket Take Away Kamppi, address: Urhokekkosenkatu 1, 00100 Helsinki
Restaurant: K. Shalmashi, address: Eteläranta 15, 00130 Helsinki
Restaurant: K2 Restaurant, address: Iso-Roobertinkatu 10, 00120 Helsinki
Restaurant: Kaakaopuu, address: Urho Kekkosenkatu 1A, 00100 Helsinki
Restaurant: Kaari 18, address: Pukinmäenkaari 18, 00780 Helsinki
Restaurant: Kaarna Baari & Keittiö, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: KaffaRoastery, address: Pursimiehenkatu 29, 00150 Helsinki
Restaurant: Kaffecentralen Kamppi, address: Fredrikinkatu 59, 00100 Helsinki
Restaurant: Kaffecentralen Korkeavuorenkatu, address: Korkeavuorenkatu 25, 00120 Helsinki
Restaurant: Kaffecentralen Museokatu, address: Museokatu 9, 00100 Helsinki
Restaurant: Kahvi Ilo, address: Kuparitie 1, 00440 Helsinki
Restaurant: Kahvikeiju, address: Oulunkyläntie 7, 00600 Helsinki
Restaurant: Kahvila 52 Seurasaari, address: Seurasaari, 00250 Helsinki
Restaurant: Kahvila Felis Neuleputiikki, address: Mäntytie 11, 00270 Helsinki
Restaurant: Kahvila Hakkis, address: Kauppatori, 00130 Helsinki
Restaurant: Kahvila Harlekiini, address: Porthaninkatu 5, 00530 Helsinki
Restaurant: Kahvila Hopia, address: Pohj. Hesperiankatu 9, 00260 Helsinki
Restaurant: Kahvila Kapusiini, address: Intiankatu 23, 00560 Helsinki
Restaurant: Kahvila Karhu, address: korkeasaari, 00570 Helsinki
Restaurant: Kahvila Kasinonranta, address: Kasinonrannan uimaranta, Lauttasaari, 00200 Helsinki
Restaurant: Kahvila Piper, address: Suomenlinna B 56, 00190 Helsinki
Restaurant: Kahvila Pokkari Cafe & Bar, address: Mosaiikkitori 2, 00980 Helsinki
Restaurant: Kahvila Roi, address: Roihuvuorentie 9, 00820 Helsinki
Restaurant: Kahvila Rytmi, address: 2. Linja 2, 00530 Helsinki
Restaurant: Kahvila Suomi, address: Pursimiehenkatu 12, 00150 Helsinki
Restaurant: Kahvila Sävy, address: Aleksis kiven katu 12, 00500 Helsinki
Restaurant: Kahvila Tyyni, address: Helsinginkatu 56, 00250 Helsinki
Restaurant: Kahvila Vety, address: Sörnäisten Rantatie 31, 00500 Helsinki
Restaurant: Kahvila Villa Ullas, address: Ullaksenpuisto 6, 00980 Helsinki
Restaurant: Kahvila Voilá, address: Klaneettitie 5, 00420 Helsinki
Restaurant: Kahvila-konditoria Wanzetta, address: Liisankatu 9, 00170 Helsinki
Restaurant: Kahvila-Ravintola Laivalaituri, address: Hietasaarenkuja 8, 00180 Helsinki
Restaurant: Kahvila-Ravintola Nuppu, address: Läntinen Brahenkatu 12, 00510 Helsinki
Restaurant: Kahvila-Ravintola Palema, address: Työpajankatu 2, 00580 Helsinki
Restaurant: Kakkugalleria, address: Bulevardi 34, 00130 Helsinki
Restaurant: Kakkugalleria (Erottaja), address: Erottajankatu 7, 00130 Helsinki
Restaurant: Kakkugalleria (Fredrikinkatu), address: Fredrikinkatu 41, 00100 Helsinki
Restaurant: Kakkukeisari Ullanlinna, address: Tarkk'ampujankatu 4, 00140 Helsinki
Restaurant: Kaksi Kanaa, address: Kanavakatu 3, 00160 Helsinki
Restaurant: Kalastajatorpan Tennisklubi, address: Kärkitie, 00330 Helsinki
Restaurant: Kallen Konditoria, address: Aleksis Kiven katu 58, 00510 Helsinki
Restaurant: Kallion Pääkonttori, address: Helsinginkatu 11, 00500 Helsinki
Restaurant: Kampela, address: Uutelantie 1, 00970 Helsinki
Restaurant: Kampin Pippuri, address: Runeberginkatu 4 A, 00100 Helsinki
Restaurant: Kampin Pippuri (Ateneuminkuja), address: Ateneuminkuja 2A, 00100 Helsinki
Restaurant: Kanava Bar, address: Kanavaranta 7, 00160 Helsinki
Restaurant: Kannas, address: Eerikinkatu 43, 00180 Helsinki
Restaurant: Kannel-Krouvi, address: Sitrakuja 4, 00420 Helsinki
Restaurant: Kannelmäen Pizzeria, address: Klaneettitie 12 A 10, 00420 Helsinki
Restaurant: Kanniston Leipomo Kankurinkatu, address: Kankurinkatu 6, 00150 Helsinki
Restaurant: Kanniston leipomon myymälä, address: Yliopistonkatu 7, 00100 Helsinki
Restaurant: Kantipur, address: Lönnrotinkatu 25, 00180 Helsinki
Restaurant: Kaow Thip Thai, address: Uudenmaankatu 33, 00120 Helsinki
Restaurant: Kapinakokki, address: Nokiantie 2-4, 00510 Helsinki
Restaurant: Kappeli, address: Eteläesplanadi 1, 00130 Helsinki
Restaurant: Karelia, address: Käpylänkuja1, 00610 Helsinki
Restaurant: Karhu Ministeri, address: Mannerheimintie 51, 00250 Helsinki
Restaurant: Karl Fazer Café, address: Kluuvikatu 3, 00100 Helsinki
Restaurant: KarlJohan, address: Yrjönkatu 21, 00100 Helsinki
Restaurant: Kart'in Club, address: Koskelantie 39, 00610 Helsinki
Restaurant: Kartanon Grilli Pizza, address: Puustellinpolku 2, 00410 Helsinki
Restaurant: Kaski bistro & baari, address: Latokartanonkaari 23, 00790 Helsinki
Restaurant: Katajanokan Kasino, address: Laivastokatu 1, 00160 Helsinki
Restaurant: Katajanokan Pizzapalvelu, address: Merikasarminkatu 7, 00160 Helsinki
Restaurant: Katiska, address: Hakaniemen kauppahalli 1, 00530 Helsinki
Restaurant: Katri Antell - Paciuksenkatu 21, address: Paciuksenkatu 21, 00270 Helsinki
Restaurant: Kattohaikara, address: Työpajankatu 10 A, 00580 Helsinki
Restaurant: Katukeittiö, address: Kontulan Ostoskeskus, 00940 Helsinki
Restaurant: Kauppahallin Super Kebab, address: Eteläranta 1 Vanha Kauppahalli 93-95, 00130 Helsinki
Restaurant: Kawa Cafe, address: Fredrikinkatu 58, 00100 Helsinki
Restaurant: Kebab Palace, address: Itäkatu 1 / Bulevardi, 1. krs (liiketila 167B), 00930 Helsinki
Restaurant: Kebab Pizzeria Food Corner, address: Sitratori 3, 00420 Helsinki
Restaurant: Keidaskahvila, address: Vilhovuorenkatu 7, 00500 Helsinki
Restaurant: Kellarikrouvi & Fabian, address: Pohjoinen Makasiinikatu 6, 00130 Helsinki
Restaurant: Ken Yau, address: Viides linja 16, 00530 Helsinki
Restaurant: Kesäravintola Saari, address: Sirpalesaari, 00150 Helsinki
Restaurant: Kiila Food & Bar, address: Kalevankatu 1, 00100 Helsinki
Restaurant: Kiinalainen Ravintola Jing Cheng, address: Eteläinen Hesperiankatu 6, 00100 Helsinki
Restaurant: Kiinan ruusu, address: Ajomiehentie 1, 00390 Helsinki
Restaurant: Kiltakellari, address: Bulevardi 48-56, 00120 Helsinki
Restaurant: Kim's Tapas, address: Kasarmikatu 4, 00140 Helsinki
Restaurant: Kimene Kebab, address: Itäkatu 1-5 (Kauppakeskus Itäkeskus, Hansasilta), 00930 Helsinki
Restaurant: Kin Sushi, address: Lönnrotinkatu 2, 00100 Helsinki
Restaurant: King Kebab, address: Mäkelänkatu 31, 00550 Helsinki
Restaurant: Kioski-kahvio, address: Hämeentie 85, 00550 Helsinki
Restaurant: Kippo Iso Roba, address: Iso Roobertinkatu 7, 00120 Helsinki
Restaurant: Kippo Kukontori, address: Yrjönkatu 29, 00100 Helsinki
Restaurant: Kipsari, address: Hämeentie 135 E, 00560 Helsinki
Restaurant: Kirstin Keidas, address: Kirstinkatu 1, 00530 Helsinki
Restaurant: Kitch, address: Yrjönkatu 30, 00100 Helsinki
Restaurant: Kitchen Yang's, address: Opastinsilta 10, 00520 Helsinki
Restaurant: Kitzens, address: Mikonkatu 23, 00100 Helsinki
Restaurant: Kivitorppa, address: Raumantie 1, 00350 Helsinki
Restaurant: Klass Pizza Kebab, address: Vuolukiventie 7, 00710 Helsinki
Restaurant: Kok de Cafe, address: Vilhonkatu 1, 00100 Helsinki
Restaurant: Kok Thai, address: Runeberginkatu 56, 00260 Helsinki
Restaurant: Kokki, address: Prinsessantie 2, 00820 Helsinki
Restaurant: Kokomo Tikibar & Room, address: Uudenmaankatu 16, 00120 Helsinki
Restaurant: Kolme Kaisaa, address: Hämeentie 29, 00500 Helsinki
Restaurant: Kolme Kruunua, address: Liisankatu 5, 00170 Helsinki
Restaurant: KOM-ravintola, address: Kapteeninkatu 26, 00140 Helsinki
Restaurant: Kom-ravintola, address: Kapteeninkatu 26, 00140 Helsinki
Restaurant: Kombo Winebar & Kitchen, address: Kulmavuorenkatu 4, 00500 Helsinki
Restaurant: Konala 10, address: Ruosilantie 10, 00390 Helsinki
Restaurant: Konditoria Briossi, address: Kalevankatu 9, 00100 Helsinki
Restaurant: Kong Fu Zi, address: Ristipellontie 25, 00390 Helsinki
Restaurant: Konstan Möljä, address: Hietalahdenkatu 14, 00140 Helsinki
Restaurant: Kontulan Hot Pizza, address: Kontulankaari 1 a 46, 00940 Helsinki
Restaurant: Kontulan pizza&kebab, address: Ostostie 4, 00940 Helsinki
Restaurant: Korea House, address: Mariankatu 19, 00170 Helsinki
Restaurant: Korjaamon baari & keittiö, address: Töölönkatu 51 B, 00250 Helsinki
Restaurant: Korjaamon kahvila, address: Töölönkatu 51 A, 00250 Helsinki
Restaurant: Korjaamon vintti, address: Töölönkatu 51 A, 0025 Helsinki
Restaurant: Korphai, address: Kolmas linja 36, 00530 Helsinki
Restaurant: Koskenranta, address: Katariina Saksilaisenkatu 9, 00560 Helsinki
Restaurant: Kosmos, address: Kalevankatu 3, 00100 Helsinki
Restaurant: Kotileipomo Eromanga, address: Pohjoinen Makasiinikatu 6, 00130 Helsinki
Restaurant: Kotipizza - Ylä-malmi, address: Kirkonkyläntie 34, 00740 Helsinki
Restaurant: Kotipizza Annankatu, address: Annankatu 6, 00120 Helsinki
Restaurant: Kotipizza Helsinki - Haaga, address: Vihdintie 13, 00320 Helsinki
Restaurant: Kotipizza Helsinki - Lönnrotinkatu, address: Lönnrotinkatu 13, 00120 Helsinki
Restaurant: Kotipizza Helsinki - Malmi, address: Ala-Malmintori 4, 00700 Helsinki
Restaurant: Kotipizza Helsinki - Munkkivuori, address: Huopalahdentie 22, 00350 Helsinki
Restaurant: Kotipizza Helsinki - Töölö, address: Topeliuksenkatu 21, 00250 Helsinki
Restaurant: Kotipizza Herttoniemi, address: Kaivolahdenkatu 8 B, 00810 Helsinki
Restaurant: Kotipizza Kallio, address: Porthaninkatu 11, 00530 Helsinki
Restaurant: Kotipizza Kruunuhaka, address: Mariankatu 10, 00170 Helsinki
Restaurant: Kotipizza Kulosaari, address: Svinhufvudintie 1, 00570 Helsinki
Restaurant: Kotipizza Käpylä, address: Oulunkyläntie 2, 00600 Helsinki
Restaurant: Kotipizza Laivurinkatu, address: Laivurinkatu 37, 00150 Helsinki
Restaurant: Kotipizza Lauttasaari, address: Lauttasaarentie 29, 00210 Helsinki
Restaurant: Kotipizza Malmin Nova, address: Ala-malmintori 4, 00700 Helsinki
Restaurant: Kotipizza Oulunkylä, address: Siltavoudintie 9, 00640 Helsinki
Restaurant: Kotipizza Roihuvuori, address: Roihuvuorentie 26, 00820 Helsinki
Restaurant: Kotipizza Ruoholahti, address: Itämerenkatu 2, 00180 Helsinki
Restaurant: Kotirouva, address: Rusthollarintie 2, 00910 Helsinki
Restaurant: Koto, address: Lönnrotinkatu 22, 00120 Helsinki
Restaurant: Krog Madame, address: Lapinlahdenkatu 3, 00180 Helsinki
Restaurant: Krulla Wiener Kaffeehaus, address: Lönnrotinkatu 13, 00120 Helsinki
Restaurant: Kuja, address: Hakaniemenkatu 7, 00530 Helsinki
Restaurant: Kuja Bar & Bistro, address: Hakaniemenkatu 7, 00530 Helsinki
Restaurant: Kujis Pub, address: Lauttasaarentie 32, 00200 Helsinki
Restaurant: Kulmapotku, address: Roihuvuorentie 28, 00820 Helsinki
Restaurant: Kulosaaren Casino, address: Hopeasalmenpolku 1, 00570 Helsinki
Restaurant: Kulta Feeniks Ravintola, address: Laippatie 1, 00880 Helsinki
Restaurant: Kumpulan kasvitieteellisen puutarhan kahvio, address: Jyrängöntie 2, 00550 Helsinki
Restaurant: Kuningatar Saba Queen Sheba, address: Mechelininkatu 8, 00100 Helsinki
Restaurant: Kuparilyhty, address: Svinhufvudintie 1, 00570 Helsinki
Restaurant: Kurvin Grilli, address: Vilhovuorenkatu 1, 00500 Helsinki
Restaurant: Kuu, address: Töölönkatu 27, 00260 Helsinki
Restaurant: KuuKuu, address: Museokatu 17, 00100 Helsinki
Restaurant: Kuurna, address: Meritullinkatu 6, 00170 Helsinki
Restaurant: Kynä & paperi, address: Hämeentie 135 D, 00560 Helsinki
Restaurant: Käpy, address: Käpyläntie 6, 00610 Helsinki
Restaurant: Käpygrilli, address: Osmontie 5, 00610 Helsinki
Restaurant: Käpylän Pizza & Kebab Palvelu, address: Käpyläntie 8, 00600 Helsinki
Restaurant: König Helsinki, address: Mikonkatu 4, 00100 Helsinki
Restaurant: La Crêperie Tram Café, address: Aleksantenrikatu 23, 00100 Helsinki
Restaurant: La Famiglia, address: Keskuskatu 3, 00100 Helsinki
Restaurant: La Famiglia Kaari, address: Kantelettarentie 1, 00420 Helsinki
Restaurant: La Grill, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: La Morena, address: Niemenmäentie 2 m 5, 00350 Helsinki
Restaurant: La Scala, address: Aurinkoranta 8, Vuosaari, 00990 Helsinki
Restaurant: La Torrefazione, address: Aleksanterinkatu 50 B, 00100 Helsinki
Restaurant: Lali Gurans (Lounas- ja Tilausravintola), address: Vanha Talvitie 2, 00580 Helsinki
Restaurant: Lankarulla, address: Koroistentie 10, 00280 Helsinki
Restaurant: Lappi Ravintola, address: Annankatu 22, 00100 Helsinki
Restaurant: Lassilan Herkku Pizza, address: Kuparitie 1, 00440 Helsinki
Restaurant: Lassilan Pizza House, address: Kaupintie 11, 00440 Helsinki
Restaurant: Lastu, address: Mannerheimintie 46, 00260 Helsinki
Restaurant: Latva, address: Korkeavuorenkatu 25, 00130 Helsinki
Restaurant: Lauttasaaren Herkku, address: Vattuniemenkatu 22B, 00210 Helsinki
Restaurant: Leevi's Coffee, address: Esplanadin puisto, 00100 Helsinki
Restaurant: Lehtovaara, address: Mechelininkatu 39, 00250 Helsinki
Restaurant: Lelumuseon kahvila Samovarbar, address: Suomenlinna C 66, 00190 Helsinki
Restaurant: Lemminkäisen edustusravintola, address: Esterinportti 2, 00240 Helsinki
Restaurant: Lemon Grass, address: Kolmas linja 12, 00530 Helsinki
Restaurant: Len's Keishoku Bar, address: Pursimiehenkatu 5, 00150 Helsinki
Restaurant: Lenin herkut, address: Opastinsilta 12, 00520 Helsinki
Restaurant: Leonardo Cafe & Bistro, address: Kaivokatu 8, 00100 Helsinki
Restaurant: LiesiKiesi, address: Seuraavan kerran Street Helsinki tapahtumassa., 00170 Helsinki
Restaurant: Lihapullabaari, address: Tivolikuja 1, 00510 Helsinki
Restaurant: Lilin Herkku Cafe, address: Vilhonvuorenkatu 7-9, 00500 Helsinki
Restaurant: Line Cafe, address: Toinen Linja 3, 00530 Helsinki
Restaurant: Linjurin Grilli, address: Linja-autoasema, 00100 Helsinki
Restaurant: Linko, address: Linnankoskenkatu 12, 00250 Helsinki
Restaurant: Linnanhenki, address: Linnanrakentajantie 7, 00810 Helsinki
Restaurant: Little Big Cafe 2nd Jätkäsaari [Verkkokauppa.com 2. krs], address: Tyynenmerenkatu 11, 00220 Helsinki
Restaurant: Little Big Cafe Jätkäsaari [Verkkokauppa.com, katutaso], address: Tyynenmerenkatu 11, 00220 Helsinki
Restaurant: Live Laugh Love, address: Viipurinkatu 7, 00510 Helsinki
Restaurant: Loncheria Bar, address: Messuaukio 1, 00520 Helsinki
Restaurant: Long City, address: Siilitie 4, 00800 Helsinki
Restaurant: Long Wall, address: Annankatu 26, 00100 Helsinki
