Restaurant: 1-Jaskan Grilli, address: Dagmarinkatu -, 00100 Helsinki
Restaurant: Harry's, address: Kankiraudantie 2A, 00700 Helsinki
Restaurant: Harry's Bar, address: Vuorimiehenkatu 23 b A 11, HELSINKI
Restaurant: Harry's Cafe, address: Erätie 3, 00730 Helsinki
Restaurant: Hartwall Areena Ravintolat, address: Areenankuja 1, HELSINKI
Restaurant: Hauki Production, address: Rajametsäntie 35 A, Helsinki
Restaurant: Havanna, address: Kaisaniemenkatu 2, Helsinki
Restaurant: Havis, address: Eteläranta 16, 00130 Helsinki
Restaurant: Heikintori, address: Heikintori, Espoo
Restaurant: Heinähattu, address: Vaasankatu 23, Helsinki
Restaurant: Helka, address: Pohjoinen Rautatiekatu 23, Helsinki
Restaurant: Helkan Keittiö, address: Pohjoinen Rautatiekatu 23, 00100 Helsinki
Restaurant: Helmi, address: Eerikinkatu 14, 00100 Helsinki
Restaurant: Helmi Artist, address: Alppikatu 5 B 76, Helsinki
Restaurant: HelmiSimpukka Ala-Tikkurila, address: Härkävaljakontie 30, 00750 Helsinki
Restaurant: HelmiSimpukka Konala, address: Ristipellontie 18, 00390 Helsinki
Restaurant: HelmiSimpukka Pukinmäki, address: Ratavallintie 1, 00720 Helsinki
Restaurant: Helsingin Diakonissalaitos / Alppica, address: Helsinginkatu 50, 00530 Helsinki
Restaurant: Helsingin Kaupungin Liikuntavirasto Uimahallit, address: Olavinlinnantie 6, Helsinki
Restaurant: Helsingin Kaupunginteatteri, address: Ensi Linja 2, Helsinki
Restaurant: Helsingin Kulttuurituotanto, address: Fredrikinkatu 45 A 3, Helsinki
Restaurant: Helsingin leipä Oy, address: Hakaniemen metroasema, 00530 Helsinki
Restaurant: Helsingin Puutarha-allas, address: Yrityspiha 6, Helsinki
Restaurant: Helsingin Sirkusammattilaiset, address: Halkaisijantie 2 D 40, Helsinki
Restaurant: Helsingin teatterisäätiö, address: Ensi Linja 2, Helsinki
Restaurant: Helsingin Vapaa-Ajan Viihdekeskus, address: Mannerheimintie 6, Helsinki
Restaurant: Helsinki Underground Bar, address: Mikonkatu 13, HELSINKI
Restaurant: Helsinki Underground Lounge, address: Mikonkatu 13, Helsinki
Restaurant: Hemingway's, address: Hietalahdenranta 11, Helsinki
Restaurant: Hemingway's Aikatalo Mikonkatu Helsinki, address: Mikonkatu 8, HELSINKI
Restaurant: Hemingway's Bar Cafe, address: Turunlinnantie 6, Helsinki
Restaurant: Hemingway's Hietalahti Helsinki, address: Hietalahdenranta 11, HELSINKI
Restaurant: Hemingway's Itäkeskus Helsinki, address: Turunlinnantie 6, HELSINKI
Restaurant: Henry's Pub, address: Simonkatu 3, 00100 Helsinki
Restaurant: Hercules, address: Lönnrotinkatu 4, Helsinki
Restaurant: Herkku Haarukka, address: Hämeentie 150, HELSINKI
Restaurant: Herkkuhaarukka, address: Hämeentie 150, 00560 Helsinki
Restaurant: Herkkulounas NT, address: Abraham wetterin tie 4, 00810 Helsinki
Restaurant: Hermannin Kukko, address: Hämeentie 81-83, 00550 Helsinki
Restaurant: Hermannin Pizza, address: Vellamonkatu 10, 00550 Helsinki
Restaurant: Hermannin Pizza & Pub, address: Vellamonkatu 10, HELSINKI
Restaurant: Hertsikan Helmi, address: Hitsaajankatu 14, 00810 Helsinki
Restaurant: Hertta 5, address: Laivalahdenportti 2, 00810 Helsinki
Restaurant: Hesari 4, address: Helsinginkatu 4, Helsinki
Restaurant: Hesarin Lippa, address: Helsinginkatu 19, 00500 Helsinki
Restaurant: Hesburger Hakaniemi, address: Hämeentie 2, 00530 Helsinki
Restaurant: Hesburger Hartwall Areena, address: Veturitie 13, 00240 Helsinki
Restaurant: Hesburger Kaisaniemi, address: Vuorikatu 14, 00100 Helsinki
Restaurant: Hesburger Kallio, address: Helsinginkatu 28, 00530 Helsinki
Restaurant: Hesburger Kasarmitori, address: Kasarmikatu 19, 00130 Helsinki
Restaurant: Hesburger Kaupintie, address: Kaupintie 19, 00440 Helsinki
Restaurant: Hesburger Käpylä, address: Vähänkyröntie 2, 00610 Helsinki
Restaurant: Hesburger Lanterna, address: Varikkotie 2, 00880 Helsinki
Restaurant: Hesburger Messukeskus, address: Messuaukio 1, 00520 Helsinki
Restaurant: Hesburger Munkkiniemi, address: Tietokuja 7, 00330 Helsinki
Restaurant: Hesburger Myllypuro, address: Kivensilmänkuja 1, 00920 Helsinki
Restaurant: Hesburger Pasila, address: Ratapihantie 6, 00520 Helsinki
Restaurant: Hesburger Rautientori, address: Rautatientorin metroasema / Kaivokatu, 00100 Helsinki
Restaurant: Hesburger Ristikko, address: Ajomiehentie 1, 00390 Helsinki
Restaurant: Hesburger Ruoholahti, address: Porkkalankatu 9-11, 00180 Helsinki
Restaurant: Hesburger Tennispalatsi, address: Fredrikinkatu 65, 00100 Helsinki
Restaurant: Hesburger Töölö, address: Mannerheimintie 19 A, 00250 Helsinki
Restaurant: Hietalahdenrannan lippakioski, address: Hietalahdenranta 11, 00180 Helsinki
Restaurant: Hietarannan kahvila, address: Hiekkarannantie, 00100 Helsinki
Restaurant: Hiisi, address: Fenniapasaasi Yöaikaan Kaisaniemenkatu 4, 00100 Helsinki
Restaurant: Hiit Design, address: Pulttitie 20, Helsinki
Restaurant: Hillcape, address: Ida Aalbergintie 3 A 49, Helsinki
Restaurant: Hilpeä Hauki, address: Vaasankatu 7, 00500 Helsinki
Restaurant: Hima & Sali, address: Tallberginkatu 1 C, 00180 Helsinki
Restaurant: Himabaari, address: Kontulankaari 1 B, HELSINKI
Restaurant: Himalaya, address: Ratakatu 1, 00120 Helsinki
Restaurant: Himshikhar, address: Siltasaarenkatu 3, 00530 Helsinki
Restaurant: Hippula Lasten Kirppis & Kaffela, address: Joukolantie 3, 00610 Helsinki
Restaurant: Hitaat Musiikki, address: Untamontie 3 A 6, Helsinki
Restaurant: Hiutale Bar, address: Annankatu 4, HELSINKI
Restaurant: HK Makkarabaari, address: Kauppakeskus Kamppi, Urho Kekkosen katu 1, 00100 Helsinki
Restaurant: Hohtogolf West Coast, address: Tasetie 8, Vantaa
Restaurant: HOK-Elanto Liiketoiminta, address: Pohjantie 3, Espoo
Restaurant: Hoku, address: Merimiehenkatu 18, 00100 Helsinki
Restaurant: Holy Moly Dj's, address: null
Restaurant: Hong Fu, address: Vilhonvuorenkatu 7, 00500 Helsinki
Restaurant: Hong Ye, address: Linnankoskenkatu 11 B, 00250 Helsinki
Restaurant: Hoshito, address: Mäkelänkatu 22, 00510 Helsinki
Restaurant: Hotel Haven, address: Unioninkatu 17, Helsinki
Restaurant: Hotelli Arkadia, address: Tattarisuontie 1, HELSINKI
Restaurant: Hotsky Music, address: Penttalantie 14 A, Helsinki
Restaurant: Hou Wei Asian express, address: hietalahdenranta 6, 00120 Helsinki
Restaurant: Hua Fu Jiu Lou, address: Kirkonkyläntie 5 A, 00700 Helsinki
Restaurant: Hua Tian, address: Mekaanikonkatu 7, 00880 Helsinki
Restaurant: Huacheng, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: Humallahden Venekerho Hvk R.Y., address: Rajasaarenpenger 6, 00250 Helsinki
Restaurant: Huone, address: Länsisatamankatu 16, 00180 Helsinki
Restaurant: Huvilan kahvila, address: Mannerheimintie 13 b, 00100 Helsinki
Restaurant: Huvipursi, address: Pursimiehenkatu 27, Helsinki
Restaurant: Hádanka, address: Mannerheimintie 104, Helsinki
Restaurant: I Love Food, address: Urhokekkosenkatu 1, alakerta, 00100 Helsinki
Restaurant: Ichiban Sushi Aikatalo, address: Mikonkatu 8, 00100 Helsinki
Restaurant: Ichiban Sushi Kamppi, address: Kampin kauppakeskus, Urho Kekkosen katu 1, 00100 Helsinki
Restaurant: Idän Piste, address: Turunlinnantie 14, Helsinki
Restaurant: Iguana, address: Kaisaniemenkatu 3, Helsinki
Restaurant: Iguana Kaisaniemenkatu, address: Kaisaniemenkatu 3, 00100 Helsinki
Restaurant: Iguana Keskuskatu, address: Keskuskatu 4, 00100 Helsinki
Restaurant: Iguana Mannerheimintie, address: Mannerheimintie 12, 00100 Helsinki
Restaurant: IhanaKahvila, address: Sumparn KESÄ-ELOKUU, 00550 Helsinki
Restaurant: Iiro's Taxi Service Ltd, address: Pitkänsillanranta 13 A 3, Helsinki
Restaurant: Il Bucatino, address: Tehtaankatu 36, 00150 Helsinki
Restaurant: Il Duetto, address: Malminrinne 6, 00100 Helsinki
Restaurant: Il Treno, address: Pallaksentie 4, Helsinki
Restaurant: Ilmatar, address: Bulevardi 2-4, 00120 Helsinki
Restaurant: Ilona, address: Tivolikuja 1, 00510 Helsinki
Restaurant: Iltakoulu, address: Vaasankatu 5, Helsinki
Restaurant: Iltatähti, address: Siilitie 9, 00800 Helsinki
Restaurant: India Tandoor, address: Salomonkatu 19, 00100 Helsinki
Restaurant: Indian Taj, address: Linnankoskenkatu 11, Helsinki
Restaurant: Inefa, address: Kolmas Linja 11 B, Helsinki
Restaurant: Inferno Bar & Nightclub, address: Annankatu 10, Helsinki
Restaurant: Inter Pizza Cafe Helsinki, address: Hämeentie 81-83, HELSINKI
Restaurant: Inter Pizza Malminkartano, address: Luutnantinaukio 5, 00410 Helsinki
Restaurant: Interpizza Hämeentie, address: Hämeentie 81, 00550 Helsinki
Restaurant: Interprod Oy Ab, address: Ratavartijankatu 2-4, Helsinki
Restaurant: Iskelmäkesä, address: Mannerheimintie 22-24, Helsinki
Restaurant: Ismet Pro Kebab Kitchen, address: Itäkatu 1-5 C 152, 00930 Helsinki
Restaurant: Ismo Virta Tmi, address: Gunillankuja 2 C 41, Helsinki
Restaurant: Iso Roba 10, address: Iso Roobertinkatu 10, Helsinki
Restaurant: IsoRoba10, address: Iso Roobertinkatu 10, Helsinki
Restaurant: ISS Menuel, address: Elimäenkatu 17 - 19, 00510 Helsinki
Restaurant: ISS Sundax henkilöstoravintola, address: Laippatie 4, 00880 Helsinki
Restaurant: Issukka Jarkko Tmi, address: Väinämöisenkatu 31 B 37, HELSINKI
Restaurant: It Is Deli Café, address: Tallinnanaukio, 1.krs, 00900 Helsinki
Restaurant: Itamae Sushi, address: Mikonkatu 5, 00100 Helsinki
Restaurant: Itamae Sushi Lasipalatsi, address: Mannerheimintie 22-24, 00100 Helsinki
Restaurant: Itis-Kebab Pizzeria, address: Turunlinnantie 12, 00900 Helsinki
Restaurant: Itkonen Satu Tmi, address: Fregattitie 16, Helsinki
Restaurant: Itäkeskuksen Uimahallin Kahvila, address: Olavinlinnantie 6, HELSINKI
Restaurant: Itäniemi Media, address: Kaunisharju 15 E, Vantaa
Restaurant: Jaal, address: Veljestentie 21, 00730 Helsinki
Restaurant: Jaatinen Raimo Antero, address: Viikinkikuja 1 B 24, Vantaa
Restaurant: Jailbird, address: Merikasarminkatu 1a, 00160 Helsinki
Restaurant: Jailyard Terrace, address: Merikasarminkatu 1, Helsinki
Restaurant: Jakomäen Baari Oy, address: Louhikkotie 20 c B 135, HELSINKI
Restaurant: Jamaican Mamas, address: Hämeentie 16, 00500 Helsinki
Restaurant: Jamipaja, address: Hämeentie 135 A, 00560 Helsinki
Restaurant: Jano, address: Mäkitorpantie 11, Helsinki
Restaurant: Janoinen Lohi, address: Linnankoskenkatu 12, 00250 Helsinki
Restaurant: Janoinen Puhveli, address: Teuvo Pakkalantie 5, 00400 Helsinki
Restaurant: Jogo Frozen Yogurt Bar, address: Fredrikinkatu 65, 00100 Helsinki
Restaurant: Johan&Nyström, address: Kanavaranta 7 C, 00160 Helsinki
Restaurant: Johanna Rusanen, address: Töölöntullinkatu 7 A 1, Helsinki
Restaurant: Johto Cafe, address: Urho Kekkosen katu 1 5.krs, 00100 Helsinki
Restaurant: Jone's, address: Kaisaniemenkatu 13, Helsinki
Restaurant: Jone's Karaoke Bar, address: Kaisaniemenkatu 13, HELSINKI
Restaurant: Jorkka & Eija Oy, address: Keskiyöntie 51 A 1, HELSINKI
Restaurant: Joselito Sabogal, address: Rantakartanontie 2 D 69, Helsinki
Restaurant: Joyspoilers Design coop osuuskunta, address: Yrjönkatu 4B 23, Helsinki
Restaurant: Juhlakentän kioski, address: 
Restaurant: Jukan Hobbyraum, address: Korkeavuorenkatu 15 B 13, Helsinki
Restaurant: Jungle Juice Bar, address: Itäkeskus, Piazza. Itäkatu 1 B, 00930 Helsinki
Restaurant: Jussin Neula Ja Koukku, address: Uudenmaankatu 33 D 1, Helsinki
Restaurant: Just Vege, address: Vaasankatu 15, 00500 Helsinki
Restaurant: Juttutupa, address: Säästöpankinranta 6, 00530 Helsinki
Restaurant: Juuri, address: Korkeavuorenkatu 27, 00130 Helsinki
Restaurant: Juustobistro, address: Vanha Kauppahalli Os 1618 20 22, Helsinki
Restaurant: JW Outdoor, address: Turunlinnantie 6, Helsinki
Restaurant: Jyvänen, address: Myllypuron ostoskeskus, Helsinki
Restaurant: Jämsä Martti Juhana, address: Vesakkotie 3 B 87, Helsinki
Restaurant: Jäähallin Kahvio, address: Nordenskiöldinkatu 11-13, 00250 Helsinki
Restaurant: Jäähallin ravintola, address: Nordenskiöldinkatu 11-13, 00250 Helsinki
Restaurant: K*RVI, address: Hämeentie 35, 00500 Helsinki
Restaurant: K-Rauta Lanterna, address: Varikkotie 2, 00880 Helsinki
Restaurant: K-supermarket Take Away Kamppi, address: Urhokekkosenkatu 1, 00100 Helsinki
Restaurant: K. Shalmashi, address: Eteläranta 15, 00130 Helsinki
Restaurant: K2, address: Iso Roobertinkatu 10, Helsinki
Restaurant: K2 Restaurant, address: Iso-Roobertinkatu 10, 00120 Helsinki
Restaurant: Kaakaopuu, address: Urho Kekkosenkatu 1A, 00100 Helsinki
Restaurant: Kaari 18, address: Pukinmäenkaari 18, 00780 Helsinki
Restaurant: Kaarle XII, address: Kasarmikatu 40, Helsinki
Restaurant: Kaarna Baari & Keittiö, address: Mannerheimintie 20, 00100 Helsinki
Restaurant: Kafe Moskova, address: Eerikinkatu 11, HELSINKI
Restaurant: KaffaRoastery, address: Pursimiehenkatu 29, 00150 Helsinki
Restaurant: Kaffecentralen, address: Museokatu 9, Helsinki
Restaurant: Kaffecentralen Kamppi, address: Fredrikinkatu 59, 00100 Helsinki
Restaurant: Kaffecentralen Korkeavuorenkatu, address: Korkeavuorenkatu 25, 00120 Helsinki
Restaurant: Kaffecentralen Museokatu, address: Museokatu 9, 00100 Helsinki
Restaurant: Kahvi Ilo, address: Kuparitie 1, 00440 Helsinki
Restaurant: Kahvikeiju, address: Oulunkyläntie 7, 00600 Helsinki
Restaurant: Kahvila 52 Seurasaari, address: Seurasaari, 00250 Helsinki
Restaurant: Kahvila Felis Neuleputiikki, address: Mäntytie 11, 00270 Helsinki
Restaurant: Kahvila Hakkis, address: Kauppatori, 00130 Helsinki
Restaurant: Kahvila Harlekiini, address: Porthaninkatu 5, 00530 Helsinki
Restaurant: Kahvila Hopia, address: Pohj. Hesperiankatu 9, 00260 Helsinki
Restaurant: Kahvila Jääherne Ky, address: Klaavuntie 1C 28, Helsinki
Restaurant: Kahvila Kapusiini, address: Intiankatu 23, 00560 Helsinki
Restaurant: Kahvila Karhu, address: korkeasaari, 00570 Helsinki
Restaurant: Kahvila Kasinonranta, address: Kasinonrannan uimaranta, Lauttasaari, 00200 Helsinki
Restaurant: Kahvila Papukaija Peacock-teatteri, address: Tivolikuja 1, HELSINKI
Restaurant: Kahvila Piper, address: Suomenlinna B 56, 00190 Helsinki
Restaurant: Kahvila Pokkari Cafe & Bar, address: Mosaiikkitori 2, 00980 Helsinki
Restaurant: Kahvila Roi, address: Roihuvuorentie 9, 00820 Helsinki
Restaurant: Kahvila Rytmi, address: 2. Linja 2, 00530 Helsinki
Restaurant: Kahvila Suomi, address: Pursimiehenkatu 12, 00150 Helsinki
Restaurant: Kahvila Sävy, address: Aleksis kiven katu 12, 00500 Helsinki
Restaurant: Kahvila Tyyni, address: Helsinginkatu 56, 00250 Helsinki
Restaurant: Kahvila Vety, address: Sörnäisten Rantatie 31, 00500 Helsinki
Restaurant: Kahvila Villa Ullas, address: Ullaksenpuisto 6, 00980 Helsinki
Restaurant: Kahvila Voilá, address: Klaneettitie 5, 00420 Helsinki
Restaurant: Kahvila-konditoria Wanzetta, address: Liisankatu 9, 00170 Helsinki
Restaurant: Kahvila-Ravintola Laivalaituri, address: Hietasaarenkuja 8, 00180 Helsinki
Restaurant: Kahvila-Ravintola Nuppu, address: Läntinen Brahenkatu 12, 00510 Helsinki
Restaurant: Kahvila-Ravintola Palema, address: Työpajankatu 2, 00580 Helsinki
Restaurant: Kaiku, address: Kaikukatu 4, Helsinki
Restaurant: Kaisla, address: Vilhonkatu 4, HELSINKI
Restaurant: Kaivohuone, address: Iso Puistotie 1, Helsinki
Restaurant: Kakkugalleria, address: Bulevardi 34, 00130 Helsinki
Restaurant: Kakkugalleria (Erottaja), address: Erottajankatu 7, 00130 Helsinki
Restaurant: Kakkugalleria (Fredrikinkatu), address: Fredrikinkatu 41, 00100 Helsinki
Restaurant: Kakkukeisari Ullanlinna, address: Tarkk'ampujankatu 4, 00140 Helsinki
Restaurant: Kaksi Kanaa, address: Kanavakatu 3, 00160 Helsinki
Restaurant: Kalaravintolat Finland, address: Runeberginkatu 26, Helsinki
Restaurant: Kalasataman Konttiaukio, address: Sompasaari, Helsinki
Restaurant: Kalastajatorpan Tennisklubi, address: Kärkitie, 00330 Helsinki
Restaurant: Kallen Konditoria, address: Aleksis Kiven katu 58, 00510 Helsinki
Restaurant: Kallion B12, address: Vaasankatu 12, Helsinki
Restaurant: Kallion B12 Cafe & Bar, address: Vaasankatu 12, HELSINKI
Restaurant: Kallion Bar 12, address: Vaasankatu 12, Helsinki
Restaurant: Kallion Mestari, address: Kustaankatu 4, HELSINKI
Restaurant: Kallion Pääkonttori, address: Helsinginkatu 11, 00500 Helsinki
Restaurant: Kallion Pörssi, address: Alppikatu 17, Helsinki
Restaurant: Kallion Seurahuone, address: Fleminginkatu 6, HELSINKI
Restaurant: Kallius Jyrki Tmi, address: Pellervontie 35 B, Helsinki
Restaurant: Kampela, address: Uutelantie 1, 00970 Helsinki
Restaurant: Kampin Baari Oy, address: Urho Kekkosen katu 1, HELSINKI
Restaurant: Kampin Keilahalli & Bar, address: Urho Kekkosen Katu 1, Helsinki
Restaurant: Kampin Pippuri, address: Runeberginkatu 4 A, 00100 Helsinki
Restaurant: Kampin Pippuri (Ateneuminkuja), address: Ateneuminkuja 2A, 00100 Helsinki
Restaurant: Kanava Bar, address: Kanavaranta 7, 00160 Helsinki
Restaurant: Kanerva Productions, address: Kylätie 22 A 4, Helsinki
Restaurant: Kannas, address: Eerikinkatu 43, 00180 Helsinki
Restaurant: Kannel Pub, address: Klaneettitie 7, HELSINKI
Restaurant: Kannel-Krouvi, address: Sitrakuja 4, 00420 Helsinki
Restaurant: Kannel-Pub, address: Klaneettitie 7, Helsinki
Restaurant: Kannelmäen Pizzeria, address: Klaneettitie 12 A 10, 00420 Helsinki
Restaurant: Kanneltalo, address: Klaneettitie 5, Helsinki
Restaurant: Kanniston Leipomo Kankurinkatu, address: Kankurinkatu 6, 00150 Helsinki
Restaurant: Kanniston leipomon myymälä, address: Yliopistonkatu 7, 00100 Helsinki
Restaurant: Kannunvalajien Kuppala, address: Unioninkatu 37, Helsinki
Restaurant: Kantele Vilmatar, address: Kauppalantie 27-29 C 26, Helsinki
Restaurant: Kantipur, address: Lönnrotinkatu 25, 00180 Helsinki
Restaurant: Kaow Thip Thai, address: Uudenmaankatu 33, 00120 Helsinki
Restaurant: Kapinakokki, address: Nokiantie 2-4, 00510 Helsinki
Restaurant: Kappeli, address: Eteläesplanadi 1, 00130 Helsinki
Restaurant: Kapsäkki Osuuskunta, address: Ensilinja 6, Helsinki
Restaurant: Kapteenin Kajuutta, address: Koulutanhua 6, Helsinki
Restaurant: Karaoke Bar Anna K, address: Annankatu 23, HELSINKI
Restaurant: Karaoke Bar Pataässä, address: Snellmaninkatu 17, HELSINKI
Restaurant: Karaoke Bar Populus, address: Aleksis Kiven Katu 22, Helsinki
Restaurant: Karaoke Bar Restroom, address: Tehtaankatu 23 A, HELSINKI
Restaurant: Karaoke Bar Yökyöpeli, address: Fabianinkatu 17, HELSINKI
Restaurant: Karaoke Nightclub Club Swengi, address: Iso Roobertinkatu 10, HELSINKI
Restaurant: Karaoke Satumaa, address: Arkadiankatu 2, Helsinki
Restaurant: Karaokeklubi.Fi, address: Lehtisaarentie 1, Helsinki
Restaurant: Karaokemesta, address: Vanhaistentie 3 B, HELSINKI
Restaurant: Karelia, address: Käpylänkuja1, 00610 Helsinki
Restaurant: Karhu Ministeri, address: Mannerheimintie 51, 00250 Helsinki
Restaurant: Karkelo, address: Karakalliontie 10, Espoo
Restaurant: Karl Fazer Café, address: Kluuvikatu 3, 00100 Helsinki
Restaurant: KarlJohan, address: Yrjönkatu 21, 00100 Helsinki
Restaurant: Kart'in Club, address: Koskelantie 39, 00610 Helsinki
Restaurant: Kartanon Grilli Pizza, address: Puustellinpolku 2, 00410 Helsinki
Restaurant: Kaski bistro & baari, address: Latokartanonkaari 23, 00790 Helsinki
Restaurant: Kasore Kasore, address: Hämeentie 34 A 3, Helsinki
Restaurant: Katajanmarja, address: Linnankatu 9, Helsinki
Restaurant: Katajanokan Kasino, address: Laivastokatu 1, 00160 Helsinki
Restaurant: Katajanokan Pizzapalvelu, address: Merikasarminkatu 7, 00160 Helsinki
Restaurant: Kati's Production, address: Hämeentie 38D 123, Helsinki
Restaurant: Katiska, address: Hakaniemen kauppahalli 1, 00530 Helsinki
Restaurant: Katri Antell - Paciuksenkatu 21, address: Paciuksenkatu 21, 00270 Helsinki
Restaurant: Kattohaikara, address: Työpajankatu 10 A, 00580 Helsinki
Restaurant: Katukeittiö, address: Kontulan Ostoskeskus, 00940 Helsinki
Restaurant: Kaunis Kampela, address: Lauttasaarentie 10, HELSINKI
Restaurant: Kauppahallin Super Kebab, address: Eteläranta 1 Vanha Kauppahalli 93-95, 00130 Helsinki
Restaurant: Kawa Cafe, address: Fredrikinkatu 58, 00100 Helsinki
Restaurant: Kebab Palace, address: Itäkatu 1 / Bulevardi, 1. krs (liiketila 167B), 00930 Helsinki
Restaurant: Kebab Pizzeria Food Corner, address: Sitratori 3, 00420 Helsinki
Restaurant: Keepers Of Real Osk, address: Rantakartanontie 2 K 23, Helsinki
Restaurant: Kehitysmylly, address: Liusketie 6 M 75, Helsinki
Restaurant: Keidaskahvila, address: Vilhovuorenkatu 7, 00500 Helsinki
Restaurant: Keittiö & Baari Juuri, address: Korkeavuorenkatu 27, HELSINKI
Restaurant: Kellarikrouvi & Fabian, address: Pohjoinen Makasiinikatu 6, 00130 Helsinki
Restaurant: Ken Yau, address: Viides linja 16, 00530 Helsinki
Restaurant: Kerhonen, address: Mechelininkatu 13, Helsinki
Restaurant: Kesäravintola Saari, address: Sirpalesaari, 00150 Helsinki
Restaurant: Kettu Ja Ajopäällä Ay, address: Huopalahdentie 12 A 20, Helsinki
Restaurant: Key West Pub, address: Katajanokanlaituri 7, Helsinki
Restaurant: KGB-Club, address: Hallituskatu 3, Helsinki
Restaurant: KGB-Club Karaoke & Disco, address: Hallituskatu 3, HELSINKI
Restaurant: Kiero Käärme, address: Turkismiehenkuja 6 B 12, Helsinki
Restaurant: Kiila Food & Bar, address: Kalevankatu 1, 00100 Helsinki
Restaurant: Kiinalainen Ravintola Jing Cheng, address: Eteläinen Hesperiankatu 6, 00100 Helsinki
Restaurant: Kiinan ruusu, address: Ajomiehentie 1, 00390 Helsinki
Restaurant: Kiltakellari, address: Bulevardi 48-56, 00120 Helsinki
Restaurant: Kim's Tapas, address: Kasarmikatu 4, 00140 Helsinki
Restaurant: Kimene Kebab, address: Itäkatu 1-5 (Kauppakeskus Itäkeskus, Hansasilta), 00930 Helsinki
Restaurant: Kin Sushi, address: Lönnrotinkatu 2, 00100 Helsinki
Restaurant: King Kebab, address: Mäkelänkatu 31, 00550 Helsinki
Restaurant: Kino Andorra & Dubrovnik, address: Eerikinkatu 11, Helsinki
Restaurant: Kioski-kahvio, address: Hämeentie 85, 00550 Helsinki
Restaurant: Kippo Iso Roba, address: Iso Roobertinkatu 7, 00120 Helsinki
Restaurant: Kippo Kukontori, address: Yrjönkatu 29, 00100 Helsinki
Restaurant: Kipsari, address: Hämeentie 135 E, 00560 Helsinki
Restaurant: Kirstin Keidas, address: Kirstinkatu 1, 00530 Helsinki
Restaurant: Kitch, address: Yrjönkatu 30, 00100 Helsinki
Restaurant: Kitchen Yang's, address: Opastinsilta 10, 00520 Helsinki
Restaurant: Kitty's Public House, address: Keskuskatu 6, HELSINKI
Restaurant: Kitzens, address: Mikonkatu 23, 00100 Helsinki
Restaurant: Kivikko Cafe Bar, address: Kivikonkaari 39 C, HELSINKI
Restaurant: Kivitorppa, address: Raumantie 1, 00350 Helsinki
Restaurant: KK-Design, address: Lainlukijantie 19, Helsinki
Restaurant: Klass Pizza Kebab, address: Vuolukiventie 7, 00710 Helsinki
Restaurant: Klaus K Livingroom, address: Bulevardi 4, Helsinki
Restaurant: Klubiravintola Väylä, address: Eteläreimarintie 9, HELSINKI
Restaurant: Kluuvi, address: Aleksanterinkatu 9, Helsinki
Restaurant: Kok de Cafe, address: Vilhonkatu 1, 00100 Helsinki
Restaurant: Kok Thai, address: Runeberginkatu 56, 00260 Helsinki
Restaurant: Kokki, address: Prinsessantie 2, 00820 Helsinki
Restaurant: Koko Jazz Club, address: Hämeentie 3, HELSINKI
Restaurant: Kokomo Tikibar & Room, address: Uudenmaankatu 16, 00120 Helsinki
Restaurant: Kola, address: Helsinginkatu 13, Helsinki
Restaurant: Kolehmainen Pekka Ilmari, address: Harjutori 6 As 70, Helsinki
Restaurant: Kolme Kaisaa, address: Hämeentie 29, 00500 Helsinki
Restaurant: Kolme Kruunua, address: Liisankatu 5, 00170 Helsinki
Restaurant: KOM-ravintola, address: Kapteeninkatu 26, 00140 Helsinki
Restaurant: Kombo, address: Kulmavuorenkatu 4, Helsinki
Restaurant: Kombo Winebar & Kitchen, address: Kulmavuorenkatu 4, 00500 Helsinki
Restaurant: Komediakiinteistöt, address: Museokatu 30-32 C 28, Helsinki
Restaurant: Konala 10, address: Ruosilantie 10, 00390 Helsinki
Restaurant: Konditoria Briossi, address: Kalevankatu 9, 00100 Helsinki
Restaurant: Kong Fu Zi, address: Ristipellontie 25, 00390 Helsinki
Restaurant: Konja 2, address: Torikatu 4, Helsinki
Restaurant: Konservointi Tuulikki Kilpinen, address: Runeberginkatu 46C 40, Helsinki
Restaurant: Konstan Möljä, address: Hietalahdenkatu 14, 00140 Helsinki
Restaurant: Kontu Krouvi, address: Porttikuja 7, HELSINKI
Restaurant: Kontulan Hot Pizza, address: Kontulankaari 1 a 46, 00940 Helsinki
Restaurant: Kontulan pizza&kebab, address: Ostostie 4, 00940 Helsinki
Restaurant: Korander, address: Kylätie 23A 13, Helsinki
Restaurant: Korea House, address: Mariankatu 19, 00170 Helsinki
Restaurant: Korjaamo, address: Töölönkatu 51 B, Helsinki
Restaurant: Korjaamon Baari, address: Töölönkatu 51 A-B, HELSINKI
Restaurant: Korjaamon baari & keittiö, address: Töölönkatu 51 B, 00250 Helsinki
Restaurant: Korjaamon kahvila, address: Töölönkatu 51 A, 00250 Helsinki
Restaurant: Korjaamon vintti, address: Töölönkatu 51 A, 0025 Helsinki
Restaurant: Korphai, address: Kolmas linja 36, 00530 Helsinki
Restaurant: Kortteliravintola Lungi, address: Korkeavuorenkatu 2, HELSINKI
Restaurant: Koskenranta, address: Katariina Saksilaisenkatu 9, 00560 Helsinki
Restaurant: Kosmos, address: Kalevankatu 3, 00100 Helsinki
Restaurant: Kotileipomo Eromanga, address: Pohjoinen Makasiinikatu 6, 00130 Helsinki
